FID,Status,Narrative,Date_Time_,Quarter,Date_Time1,Location_1,Location_2,Location_3,Location_4,Location_5,Location_6,Location_7,Location_8,Location_9,Locatio_10,Locatio_11,Locatio_12,Func__Loca,Location_L,Locatio_13,Location_N,Actor_1__P,Actor_1__1,Actor_1__2,Actor_1__3,Actor_2__T,Actor_2__1,Actor_2__2,Actor_2__3,Act_OLD_1,Act_OLD_2,Act_OLD_3,Act_OLD_Mo,Act_1,Act_2,Act_3,Act_4,Act_Mode,NGO_Incide,Section,Region,Inserted_O,Inserted_1,Incident,lon,lat
490,Verified,GF/NA reviewed the curfew time in the town and pegged the new timing between 2000hrs. and 0600hrs. The review followed the recent infiltration of the town by OAG/ISWAP operatives.,13/11/2022,4th, ,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,N/A,12.671276,13.616704, ,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Misc. Events,Curfew, , ,Perpetrated, , , ,14/11/2022,09:49,nga:637204e2,13.616704,12.671276
491,Verified,"GF/CJTF, acting on a tip-off, ambushed and engaged OAG operatives. The operatives had rifles or small arms and used three motorcycles, four bicycles, and three carts. Both sides exchanged fire until GF shot and killed three operatives while others fled w",12/11/2022,4th,22:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Bidingeri,NGA19227, , , , ,Farmland,11.68214,13.366859, ,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,14/11/2022,10:44,nga:63721054,13.366859,11.68214
492,Verified,"A GF/NA member shot and injured one GF/NPF member following a dispute. Shortly after, a team of GF/NA members deployed to the scene disarmed the GF/NA member and arrested him.",12/11/2022,4th,18:00,Nigeria,nga,Adamawa,NG002,Madagali,NG002010,Madagali,NGA11159, , , , ,"Public Commercial Facility (Hotel, Restaurant, Mall, Stadium)",10.886389,13.63,Madagali Market,Government Forces,Army,Nigerian Army (NA), ,Government Forces,Police,Nigerian Police Force (NPF), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,13/11/2022,12:51,nga:6370db68,13.63,10.886389
493,Verified,"OAG operatives with rifles set up an informal VCP along the road. They stopped several commercial vehicles in transit, searched the occupants, and robbed them of money, mobile phones, and other valuables. They also siphoned fuel from the vehicles and pai",12/11/2022,4th,13:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Kinjimiram,NGAKi1660302589023, , , , ,Vehicle Check Point (VCP),12.36025,13.13971, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, ,MAIDUGURI - GAJIRAM RD, ,14/11/2022,10:51,nga:63721207,13.13971,12.36025
494,Verified,"A large number of OAG operatives with rifles and on foot, arrived at a riverine area, rounded up some fishermen, and ordered them to buy medical supplies and food items for them. Reportedly, the operatives wore a different uniform, unlike the typical ISW",12/11/2022,4th,12:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Goniri,NGA13250, , , , ,Waterways,11.505798,13.673801, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Threat,Armed Threat (Firearm), , ,Perpetrated, , , ,14/11/2022,10:02,nga:6372073d,13.673801,11.505798
499,Verified,"An OAG commander executed female civilians with a knife. They were among the 13 civilians he abducted in the same area on 11.11.2022, upon suspicion that the female civilians encouraged his wife to leave him. The remaining eight female civilians managed",12/11/2022,4th, ,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Ghraza,NGA17091, , , , ,N/A,11.024442,13.744399, ,OAG,Unknown OAG (NGA), , ,General Public,Identity Group,Woman, , , , , ,Attack,Hand to Hand,Armed Assault, ,Perpetrated, , , ,16/11/2022,13:07,nga:6374d637,13.744399,11.024442
501,Verified,GF/NA members opened small arms fire towards the east of the location after suspicious sightings of OAG operatives. The OAG operatives returned fire and retreated. No casualties were reported.,11/11/2022,4th,19:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Mandarari,NGA19570, , , , ,Population Centre Outskirts,11.660752,13.395686, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,14/11/2022,10:23,nga:63720ad2,13.395686,11.660752
502,Verified,GF/NA on patrol in town arrested one OAG operative suspected to be among the operatives responsible for the attack on 10.11.2022.,11/11/2022,4th,19:00,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,N/A,12.671276,13.616704, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,14/11/2022,16:30,nga:63726210,13.616704,12.671276
503,Verified,OAG operatives with rifles arrived on foot at farmland on the eastern outskirts of the town and abducted a farmer and stole his produce. The operatives also abducted at least two female farmers from a nearby farm.,11/11/2022,4th,17:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Banki,NGA13085, , , , ,Farmland,11.2514,14.1482, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, , , ,14/11/2022,12:24,nga:637227f5,14.1482,11.2514
505,Verified,OAG operatives with rifles and motorcycles set up an informal VCP. They stopped several vehicles in transit and robbed the passengers of money and other valuables. They siphoned fuel from the vehicles before allowing travelers to continue their journey.,11/11/2022,4th,13:00,Nigeria,nga,Borno,NG008,Nganzai,NG008026,Mile 40,NGA23472, , , , ,Vehicle Check Point (VCP),12.37945,13.1532, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, ,MAIDUGURI - GAJIRAM RD, ,14/11/2022,12:09,nga:6372221b,13.1532,12.37945
506,Verified,"OAG/ISWAP operatives detonated a roadside IED, suspected to be a command-wire type, against a GF/NA convoy. The resulting blast damaged the vehicle and injured two GF members. The operatives then engaged GF with small arms fire, prompting GF to respond.",11/11/2022,4th,12:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Firgi,NGA13226, , , , ,Road/Roadside,11.3934,13.7642, ,OAG,ISWAP, , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Combination,CO1: SALW + Explosives, ,Perpetrated, ,BAMA - PULKA RD, ,16/11/2022,13:45,nga:6374dc28,13.7642,11.3934
507,Verified,"An OAG commander abducted 13 female civilians in the area on suspicion of encouraging his wife to flee. The operative executed five of them, and the remaining eight managed to escape on 12.11.2022.",11/11/2022,4th,11:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Ghraza,NGA17091, , , , ,N/A,11.024442,13.744399,Mandara Mountains,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, , , ,16/11/2022,11:10,nga:6374b798,13.744399,11.024442
508,Verified,"OAG/ISWAP operatives detonated a roadside IED, suspected to be a command-wire type, against a GF/NA convoy. The resulting blast damaged the vehicle and injured three GF members aboard. ISWAP claimed the attack via Amaq the same day.",11/11/2022,4th,09:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Firgi,NGA13226, , , , ,Road/Roadside,11.3934,13.7642, ,OAG,ISWAP, , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Explosives,IED,Static,Perpetrated, ,BAMA - PULKA RD, ,14/11/2022,16:11,nga:63725dc3,13.7642,11.3934
509,Verified,OAG operatives with rifles and on motorcycles and others on foot and bicycles with carts arrived at a farmland and stole crops. GF/NA noticed the operatives' movements and fired shots in their direction. The operatives did not return fire and withdrew wi,10/11/2022,4th,22:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Maitari,NGA19535, , , , ,Farmland,11.68689,13.35962, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, , , ,11/11/2022,10:12,nga:636e152c,13.35962,11.68689
511,Verified,OAG operatives with rifles and on foot opened small arms fire into the air on the outskirts of the location and abducted two female civilians while others fled. This incident happened while the civilians were coming from Muna Market.,10/11/2022,4th,21:00,Nigeria,nga,Borno,NG008,Jere/maiduguri,NG008013,Dusuman,NGA4766f0a6c000c57c25718cf5bf1755ad, , , , ,Population Centre Outskirts,11.9089,13.2645, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, , , ,11/11/2022,10:06,nga:636e12ec,13.2645,11.9089
513,Verified,GF/NA restricted vehicular and pedestrian movement in and out of the town and conducted a cordon and search operation. The restriction followed an OAG attack in the town earlier that same day.,10/11/2022,4th,08:00,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,N/A,12.671276,13.616704, ,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Confine,Cordon/Search Op, , ,Perpetrated, , , ,11/11/2022,08:32,nga:636dfc70,13.616704,12.671276
514,Verified,"GF/NA hit an OAG/ISWAP road-planted IED suspected to be command wire type while in transit along the road. The resulting blast damaged the vehicle, but the casualty figure was unknown. ISWAP claimed the attack via Amaq later the same day.",10/11/2022,4th,07:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Banki Junction,NGAc4c3254f2c3855dfd71884c598e89a2d, , , , ,Road/Roadside,11.4369,13.7601, ,OAG,ISWAP, , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Explosives,IED,Static,Perpetrated, ,BAMA - PULKA RD, ,11/11/2022,10:27,nga:636e18d0,13.7601,11.4369
515,Verified,"OAG/ISWAP operatives with rifles arrived on several motorcycles and attacked a GF/MNJTF position on the outskirts of the location. Both sides exchanged fire for several minutes until the OAG operatives retreated. During the armed clash, the operatives sh",10/11/2022,4th,03:00,Nigeria,nga,Borno,NG008,Ngala,NG008025,Wulgo,NGA22868, , , , ,Major Base or Station (Any actor),12.4831,14.183,GF Position,OAG,ISWAP, , ,Foreign Government Forces,Multinational Forces,Coalition,Multinational Joint Task Force (MNJTF), , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,11/11/2022,10:11,nga:636e1489,14.183,12.4831
516,Verified,"OAG/ISWAP operatives arrived aboard vehicles and parked by the security trench, then moved in on foot. They proceeded to a car-hire compound, broke into it, siphoned fuel from vehicles, and stole two vehicles before setting fire to 18 others. OAGs shot a",10/11/2022,4th,02:00,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,Office,12.671276,13.616704,Car-hire service compound,OAG,ISWAP, , ,General Public,Other General Public, , , , , , ,Attack,Hand to Hand,Arson, ,Perpetrated,INGO, , ,11/11/2022,09:41,nga:636e0b02,13.616704,12.671276
517,Verified,"OAG operatives with rifles arrived at a herdsman settlement on foot and abducted a male civilian from his residence. Shortly afterward, the operatives contacted the family members of the victims and demanded 2 million Naira as ransom. On 16.11.22 the ope",10/11/2022,4th,02:00,Nigeria,nga,Borno,NG008,Damboa,NG008007,Tolomari,NGA15084, , , , ,Private Residence,11.12406,12.757293, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Kidnap, ,Perpetrated, , , ,18/11/2022,09:31,nga:63774421,12.757293,11.12406
518,Verified,GF/NA arrested six OAG operatives suspected of being among those responsible for the attack on the car-hire service earlier that day.,10/11/2022,4th, ,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,N/A,12.671276,13.616704, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,16/11/2022,13:35,nga:6374d993,13.616704,12.671276
520,Verified,"OAG operatives with rifles attacked a GF/NA position, prompting GF to return fire. The exchange lasted for several minutes until the operatives retreated. No casualties were reported.",09/11/2022,4th,22:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Gwoza,NGA17121, , , , ,Minor Outpost or Camp (Any actor),11.08309,13.694164,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,10/11/2022,12:16,nga:636cde84,13.694164,11.08309
521,Verified,"OAG/ISWAP operatives with rifles attacked a GF/NA position with small arms fire, prompting GF to return fire. They exchanged fire for several minutes until a GF reinforcement team from Damboa deployed, causing the operatives to retreat. Additionally, GF",09/11/2022,4th,21:00,Nigeria,nga,Borno,NG008,Damboa,NG008007,Azir,NGA14786, , , , ,Minor Outpost or Camp (Any actor),11.0459,12.648,GF Position,OAG,ISWAP, , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,10/11/2022,12:46,nga:636ce6bf,12.648,11.0459
522,Verified,GF/NA fired at least two artillery projectiles toward Azir upon reports of OAG presence at the location. No casualties were reported.,09/11/2022,4th,21:00,Nigeria,nga,Borno,NG008,Damboa,NG008007,Damboa,NGA14847, , , , ,N/A,11.150664,12.759583, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,10/11/2022,12:48,nga:636ce877,12.759583,11.150664
523,Verified,OAG operatives with rifles and on foot with carts arrived at a farmland and stole crops. GF/NA noticed the operatives' movements and fired shots in their direction. The operatives returned fire and withdrew with the stolen crops. No casualties were repor,09/11/2022,4th,20:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Konduga,NGA19476, , , , ,Farmland,11.6522,13.4071, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, , , ,10/11/2022,10:36,nga:636cc7a9,13.4071,11.6522
524,Verified,GF/NA fired one artillery projectile towards the northern outskirts of the town upon reports of suspected OAG movements. No casualties were reported.,09/11/2022,4th,18:00,Nigeria,nga,Borno,NG008,Damboa,NG008007,Damboa,NGA14847, , , , ,Population Centre Outskirts,11.150664,12.759583, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,10/11/2022,11:25,nga:636cd4de,12.759583,11.150664
525,Verified,"Following a tip-off, GF/CJTF arrested an OAG logistic supplier after he had made a large food purchase at the market. He was arrested with a female accomplice and five family members, comprised of two females and three male teenagers, while trying to smu",09/11/2022,4th,15:00,Nigeria,nga,Borno,NG008,Gubio,NG008009,Gubio,NGA15739, , , , ,"Public Commercial Facility (Hotel, Restaurant, Mall, Stadium)",12.499,12.7848, ,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,14/11/2022,16:43,nga:63726480,12.7848,12.499
526,Verified,"OAG operatives with rifles and on two motorcycles, set up an informal VCP along a secondary road. They stopped six commercial vehicles in transit. They carjacked one vehicle and robbed the occupants of the other vehicles of money and other valuables befo",09/11/2022,4th,13:00,Nigeria,nga,Borno,NG008,Kukawa,NG008017,Kuka Uwu,NGA19866, , , , ,Vehicle Check Point (VCP),12.80989,13.55011, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, , , ,10/11/2022,13:05,nga:636ceb9b,13.55011,12.80989
527,Verified,GF/NA restricted vehicular movement in this location along Maiduguri Road for unknown reasons.,09/11/2022,4th,11:00,Nigeria,nga,Borno,NG008,Mafa,NG008019,Ngowum,NGA20510, , , , ,Road/Roadside,11.88484,13.34301, ,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Misc. Events,Other Misc. Events, , ,Perpetrated, ,MAIDUGURI - MAFA RD, ,11/11/2022,09:02,nga:636e053f,13.34301,11.88484
530,Verified,"GF/CJTF, acting on a tip-off, ambushed OAG operatives with small arms fire who were crossing the Maiduguri-Konduga road on foot. The operatives returned fire. The armed clash lasted for several minutes until the operatives retreated. During the armed cla",08/11/2022,4th,21:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Maitari,NGA19535, , , , ,Road/Roadside,11.68358,13.36208, ,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, ,MAIDUGURI - KONDUGA RD, ,09/11/2022,09:09,nga:636b6277,13.36208,11.68358
531,Verified,An OAG/JAS operative approached a GF/NA position and surrendered. He claimed to have arrived from Yuwe in Konduga LGA and mentioned that he escaped when ISWAP operatives attacked their camp on 7.11.22.,08/11/2022,4th,17:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Kawuri,NGA19452, , , , ,Minor Outpost or Camp (Any actor),11.573522,13.536572, ,OAG,JAS, , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Misc. Events,Surrender, , ,Perpetrated, , , ,09/11/2022,09:28,nga:636b64e8,13.536572,11.573522
534,Verified,"One GF/CJTF member patrolling the outskirts of the town opened a small arms fire at a GF/NA convoy on patrol, suspecting them to be OAG operatives. This prompted the GF/NA to return fire. They eventually stopped after recognising each other. During the c",08/11/2022,4th,02:00,Nigeria,nga,Borno,NG008,Monguno,NG008024,Monguno,NGA22707, , , , ,Population Centre Outskirts,12.671276,13.616704,Kasuwan Albasa Towards Marte Road,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,09/11/2022,08:14,nga:636b536c,13.616704,12.671276
536,Verified,GF/CJTF ambushed OAG operatives and killed five of them. CJTF recovered two rifles.,08/11/2022,4th,01:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Aulari,NGA19203, , , , ,Road/Roadside,11.542456,13.593751, ,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,11/11/2022,11:57,nga:636e2e67,13.593751,11.542456
542,Verified,"OAG operatives with rifles infiltrated the location on several motorcycles, then fired shots in the air, prompting civilians to flee. The operatives broke into two private residences of vigilante families and asked about the whereabouts of the vigilante",07/11/2022,4th,23:00,Nigeria,nga,Adamawa,NG002,Madagali,NG002010,Gulak,NGA11135, , , , ,N/A,10.805882,13.457528,Hashi,OAG,Unknown OAG (NGA), , ,Government Forces,Para Military/PSC,Para-Military/PSC (NGA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,08/11/2022,09:33,nga:636a1779,13.457528,10.805882
544,Verified,GF/CJTF ambushed OAG operatives who arrived at a farmland to steal crops. GF shot and killed four operatives and seized one rifle.,07/11/2022,4th,21:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Galtimari,NGA100590, , , , ,Farmland,11.6858,13.3963, ,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,08/11/2022,11:04,nga:636a2af4,13.3963,11.6858
545,Verified,"GF/CJTF, together with vigilantes on patrol entered an OAG camp and recovered two female OAG family members and a child. They also recovered three magazines, two hand grenades, seven livestock (two goats and five cattle), and two bicycles.",07/11/2022,4th,17:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Mayanti,NGA13385, , , , ,Minor Outpost or Camp (Any actor),11.37558,13.87706,OAG Camp,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,OAG,Unknown OAG (NGA), , , , , , ,Recover / Seize, , , ,Perpetrated, , , ,09/11/2022,08:31,nga:636b5947,13.87706,11.37558
546,Verified,"Suspected OAG/ISWAP operatives with rifles and aboard several vehicles attacked a camp of suspected OAG/JAS operatives. The armed clash lasted for several hours until the JAS operatives vacated the camp. During the armed clash, suspected ISWAP operatives",07/11/2022,4th,17:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Yuwe,NGA29fba901a3491e75879c9b42f8939f7b, , , , ,Minor Outpost or Camp (Any actor),11.42948,13.40165, ,OAG,Unknown OAG (NGA), , ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,09/11/2022,12:16,nga:636b8d66,13.40165,11.42948
547,Verified,"GF/NA, following a tip-off, arrested seven male civilians suspected of being OAG logistic suppliers at an IDP camp. Information received from the civilians led to the arrest of four additional GF/NA members suspected of the same crime.",07/11/2022,4th,12:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Bama,NGA13082, , , , ,Refugee/IDP Camp,11.522103,13.685579,GGSS IDP Camp,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,08/11/2022,15:19,nga:636a677d,13.685579,11.522103
554,Verified,"OAG operatives with rifles and on five motorcycles set up an informal VCP along the road. They opened small arms fire at a vehicle that refused to stop. The shots damaged the vehicle, killed three passengers, and injured two others. The driver, however,",06/11/2022,4th,19:00,Nigeria,nga,Borno,NG008,Mobbar,NG008023,Kareto,NGA100685, , , , ,Vehicle Check Point (VCP),12.88366,12.50773, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, ,DAMASAK - GUBIO RD, ,08/11/2022,15:28,nga:636a69e1,12.50773,12.88366
557,Verified,"Vigilante members, acting on a tip-off, arrested two OAG operatives with rifles while resting at a farm. The vigilante members seized two rifles and one motorcycle, then handed them over to GF/NA.",06/11/2022,4th,16:00,Nigeria,nga,Yobe,NG036,Tarmua,NG036015,Shegau,NGA25704, , , , ,Farmland,12.1472,11.6853, ,Government Forces,Para Military/PSC,Para-Military/PSC (NGA), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,07/11/2022,17:13,nga:636931c0,11.6853,12.1472
558,Verified,"OAG operatives with rifles arrived at a farmland on foot and two motorcycles. They abducted a male farmer, fired shots, and left.",06/11/2022,4th,13:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Yaleri,NGA100629, , , , ,Farmland,11.6688,13.3925, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, , , ,07/11/2022,08:27,nga:6368b616,13.3925,11.6688
559,Verified,"OAG operatives with rifles stopped a commercial vehicle in transit along the road. After checking the identification of the driver, they shot and killed him for unknown reasons.",06/11/2022,4th,12:00,Nigeria,nga,Borno,NG008,Gubio,NG008009,Kartari,NGA15834, , , , ,Road/Roadside,12.4139,12.799,Baram Baliya,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, ,MAIDUGURI - GUBIO RD, ,08/11/2022,08:07,nga:636a01e5,12.799,12.4139
560,Verified,"OAG/ISWAP operatives with rifles arrived aboard several vehicles, parked on the outskirts, and infiltrated the town on foot. Some operatives proceeded to a GF/NPF station in the town and attacked the GF, prompting an exchange of fire that lasted for an h",06/11/2022,4th,00:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Magumeri,NGA21101, , , , ,N/A,12.1131,12.8274, ,OAG,ISWAP, , ,Government Forces,Police,Nigerian Police Force (NPF), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated,INGO, , ,07/11/2022,16:51,nga:63692b45,12.8274,12.1131
561,Verified,"OAG operatives, with rifles and on motorcycles with carts, arrived at a farmland and stole crops. GF/NA noticed the operatives' movements and fired shots in their direction. The operatives returned fire and withdrew with the stolen crops. No casualties w",05/11/2022,4th,23:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Bazamri,NGA19226, , , , ,Farmland,11.67468,13.45216, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, , , ,06/11/2022,10:47,nga:63678378,13.45216,11.67468
563,Verified,GF/NAF conducted an airstrike against OAG operatives on vehicles. The resulting airstrike killed at least seven OAG operatives and damaged one vehicle.,05/11/2022,4th,14:00,Nigeria,nga,Borno,NG008,Guzamala,NG008010,Gudumbali,NGA16593, , , , ,N/A,12.94363,13.177035,IVO Delluwa North of Gudumbali,Government Forces,Airforce,Nigerian Air Force (NAF), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Platforms,Airstrike, ,Perpetrated, , , ,10/11/2022,09:34,nga:636cb7a3,13.177035,12.94363
564,Verified,GF/NAF conducted an airstrike against OAG operatives while they were in transit aboard a vehicle. The airstrike damaged one vehicle and killed seven operatives aboard.,05/11/2022,4th,14:00,Nigeria,nga,Borno,NG008,Guzamala,NG008010,Gudumbali,NGA16593, , , , ,N/A,12.94363,13.177035,Delwa Northern Outskirts of Gudumbali,Government Forces,Airforce,Nigerian Air Force (NAF), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Platforms,Airstrike, ,Perpetrated, , , ,16/11/2022,11:30,nga:6374bcb2,13.177035,12.94363
565,Verified,An OAG operative approached a GF/NA position and surrendered. He handed over one rifle to GF.,05/11/2022,4th,07:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Kawuri,NGA19452, , , , ,Minor Outpost or Camp (Any actor),11.573522,13.536572, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Misc. Events,Surrender, , ,Perpetrated, , , ,05/11/2022,12:05,nga:636643d9,13.536572,11.573522
568,Verified,"OAG operatives with rifles ambushed a GF/NA convoy while they were in transit along the road, prompting GF to return small arms fire. The exchange lasted for several minutes until the operatives retreated. During the armed clash, GF shot and killed four",04/11/2022,4th,22:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Madamari,NGA21099, , , , ,Road/Roadside,12.2941,12.7841, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, ,MAIDUGURI - GUBIO RD, ,07/11/2022,10:10,nga:6368cd6c,12.7841,12.2941
569,Verified,"OAG operatives with rifles opened small arms fire sporadically at residents while passing through the community. The shots injured three civilians, while others fled.",04/11/2022,4th,20:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Furram,NGA100663, , , , ,N/A,12.2663,12.7991, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,10/11/2022,09:49,nga:636cbdee,12.7991,12.2663
570,Verified,Three OAG operatives with rifles on two motorcycles arrived at a farmland and abducted a female farmer.,04/11/2022,4th,14:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Tori,NGA100626, , , , ,Farmland,11.6257,13.4521, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Unresolved Abduction, ,Perpetrated, , , ,04/11/2022,16:54,nga:636536d7,13.4521,11.6257
